index,singlish,english
2843,"I want to make a pillowcase, but don't know what size.","I want to make a pillowcase, but I don't know what size."
2844,Can you help me iron the fabric?,Can you help me iron the fabric?
2845,"This thread very strong, good for heavy fabric.","This thread is very strong, good for heavy fabric."
2846,"I need to buy more fabric, this one not enough for my project.","I need to buy more fabric, this one is not enough for my project."
2847,"This sewing machine very easy to use, I like it.","This sewing machine is very easy to use, I like it."
2848,"I want to make a tablecloth, but don't know what fabric to use.","I want to make a tablecloth, but I don't know what fabric to use."
2849,Can you help me choose a fabric?,Can you help me choose a fabric?
2850,"This fabric very colourful, I like it.","This fabric is very colorful, I like it."
2851,"I need to buy more thread, this one not enough.","I need to buy more thread, this one is not enough."
2852,"This sewing machine very fast, can finish quickly.","This sewing machine is very fast, I can finish quickly."
2853,"I want to make a curtain, but don't know how to start.","I want to make a curtain, but I don't know how to start."
2854,Can you help me sew this seam?,Can you help me sew this seam?
2855,"This fabric very thin, need to be careful when sewing.","This fabric is very thin, I need to be careful when sewing."
2856,"I need to buy more needles, this one too small.","I need to buy more needles, this one is too small."
2857,"This sewing machine very quiet, I like it.","This sewing machine is very quiet, I like it."
2858,"I want to make a jacket, but don't know what fabric to use.","I want to make a jacket, but I don't know what fabric to use."
2859,Can you help me choose a pattern?,Can you help me choose a pattern?
2860,"This fabric very durable, good for making bags.","This fabric is very durable, good for making bags."
2861,"I need to buy more pins, this one not enough.","I need to buy more pins, this one is not enough."
2862,"This sewing machine very reliable, can use for many years.","This sewing machine is very reliable, it can be used for many years."
2863,"I want to make a blanket, but don't know how to start.","I want to make a blanket, but I don't know how to start."
2864,Can you help me sew this hem?,Can you help me sew this hem?
2865,"This fabric very smooth, good for making clothes.","This fabric is very smooth, good for making clothes."
2866,"I need to buy more bobbins, this one not enough.","I need to buy more bobbins, this one is not enough."
2867,"This sewing machine very versatile, can do many stitches.","This sewing machine is very versatile, it can do many stitches."
2868,"I want to make a dress, but don't know what pattern to use.","I want to make a dress, but I don't know what pattern to use."
2869,Can you help me choose a thread?,Can you help me choose a thread?
2870,"This fabric very light, good for summer clothes.","This fabric is very light, good for summer clothes."
2871,"I need to buy more fabric, this one not enough for my project.","I need to buy more fabric, this one is not enough for my project."
2872,"This sewing machine very easy to maintain, I like it.","This sewing machine is very easy to maintain, I like it."
2873,"I want to make a scarf, but don't know how to start.","I want to make a scarf, but I don't know how to start."
2874,Can you help me sew this patch?,Can you help me sew this patch?
2875,"This fabric very soft, good for making blankets.","This fabric is very soft, good for making blankets."
2876,"I need to buy more thread, this one not enough.","I need to buy more thread, this one is not enough."
2877,"This sewing machine very powerful, can sew thick fabric.","This sewing machine is very powerful, it can sew thick fabric."
2878,"I want to make a shirt, but don't know what fabric to use.","I want to make a shirt, but I don't know what fabric to use."
2879,Can you help me choose a needle?,Can you help me choose a needle?
2880,"This fabric very colourful, good for making dresses.","This fabric is very colorful, good for making dresses."
2881,"I need to buy more pins, this one not enough.","I need to buy more pins, this one is not enough."
2882,"This sewing machine very durable, can use for many years.","This sewing machine is very durable, it can be used for many years."
2883,"I want to make a quilt, but don't know how to start.","I want to make a quilt, but I don't know how to start."
2884,Can you help me sew this zipper?,Can you help me sew this zipper?
2885,"This fabric very thick, good for making jackets.","This fabric is very thick, good for making jackets."
2886,"I need to buy more bobbins, this one not enough.","I need to buy more bobbins, this one is not enough."
2887,"This sewing machine very versatile, can do many stitches.","This sewing machine is very versatile, it can do many stitches."
2888,"I want to make a dress, but don't know what pattern to use.","I want to make a dress, but I don't know what pattern to use."
2889,Can you help me choose a thread?,Can you help me choose a thread?
2890,"This fabric very light, good for summer clothes.","This fabric is very light, good for summer clothes."
2891,"I need to buy more fabric, this one not enough for my project.","I need to buy more fabric, this one is not enough for my project."
2892,"This sewing machine very easy to maintain, I like it.","This sewing machine is very easy to maintain, I like it."
2893,"I want to make a scarf, but don't know how to start.","I want to make a scarf, but I don't know how to start."
2894,Can you help me sew this patch?,Can you help me sew this patch?
2895,"This fabric very soft, good for making blankets.","This fabric is very soft, good for making blankets."
2896,"I need to buy more thread, this one not enough.","I need to buy more thread, this one is not enough."
2897,"This sewing machine very powerful, can sew thick fabric.","This sewing machine is very powerful, it can sew thick fabric."
2898,"I want to make a shirt, but don't know what fabric to use.","I want to make a shirt, but I don't know what fabric to use."
2899,Can you help me choose a needle?,Can you help me choose a needle?
2900,"This fabric very colourful, good for making dresses.","This fabric is very colorful, good for making dresses."
2901,"Wah, so tired, need to take a nap.","Wow, I'm so tired, I need to take a nap."
2902,Later I go nap for a while.,I'll take a nap later.
2903,"Just now nap a bit, feel better already.","I just took a nap, feeling better now."
2904,I think I need a short nap.,I think I need a short nap.
2905,"After lunch, I always feel like napping.",I always feel like napping after lunch.
2906,You want to nap now or later?,Do you want to nap now or later?
2907,I nap for 30 minutes only.,I only napped for 30 minutes.
2908,"Cannot tahan, need to nap.","I can't take it anymore, I need to nap."
2909,Nap time is the best time.,Nap time is the best time.
2910,I always nap in the afternoon.,I always nap in the afternoon.
2911,Nap a bit then continue work.,I'll nap a bit then continue working.
2912,"I need to nap, too tired already.","I need to nap, I'm too tired."
2913,"Nap for a while, then we go out.","Let's nap for a while, then we'll go out."
2914,"I feel sleepy, time to nap.","I'm feeling sleepy, it's time to nap."
2915,Nap is important for health.,Napping is important for health.
2916,I always nap after school.,I always nap after school.
2917,"Nap a bit, then can focus better.","Nap a bit, then you can focus better."
